Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[86L, 152L, 248L]",0.45,MLR,0.24,0.15,-0.08,0.18
"[35L, 52L, 53L, 156L, 281L, 286L, 298L, 305L, 333L, 377L]",0.83,MLR,0.24,-0.28,-1.44,-1.65
"[78L, 209L, 225L, 335L]",0.65,MLR,0.07,-0.09,-0.79,-0.51
"[11L, 169L, 223L, 331L]",0.62,MLR,0.21,-0.04,-0.72,-0.81
"[68L, 163L, 213L, 276L, 309L, 314L, 321L, 353L, 376L]",0.77,MLR,0.13,-0.32,-1.08,-0.95
"[112L, 115L, 130L, 203L, 291L, 302L, 323L]",0.59,MLR,0.12,-0.2,-0.28,-0.69
"[26L, 27L, 51L, 64L, 112L, 346L]",1.0,MLR,0.23,-1.62,-0.16,-0.06
"[37L, 82L, 131L, 183L, 282L, 293L, 369L]",0.99,MLR,0.21,-1.84,0.25,0.26
"[61L, 85L, 93L, 141L, 145L, 170L, 174L, 178L, 326L]",0.41,MLR,0.62,0.35,-0.19,0.26
"[16L, 54L, 106L, 120L, 132L, 182L, 187L, 204L, 220L, 283L, 378L]",0.75,MLR,0.42,-0.08,-1.37,-1.08
"[135L, 334L, 384L]",0.51,MLR,0.04,-0.1,0.02,-0.18
"[25L, 88L, 207L, 309L, 354L, 357L]",0.63,MLR,0.13,-0.14,-0.6,-0.31
"[3L, 15L, 139L, 254L]",0.55,MLR,0.05,-0.16,-0.08,0.03
"[133L, 288L, 310L, 325L]",0.54,MLR,0.09,-0.15,-0.06,-0.2
"[58L, 105L, 126L, 178L, 183L, 185L, 209L, 284L]",1.12,MLR,0.37,0.1,-3.72,-4.41
"[18L, 52L, 125L, 166L, 222L, 345L]",0.68,MLR,0.31,0.05,-1.16,-0.78
"[1L, 31L, 122L, 146L, 153L, 214L, 263L, 282L, 297L, 364L]",0.66,MLR,0.07,-0.45,-0.23,-0.21
"[9L, 276L, 293L, 294L, 317L, 331L]",0.6,MLR,0.06,-0.39,0.02,-0.06
"[68L, 217L, 344L]",0.52,MLR,0.05,-0.1,-0.02,-0.04
"[210L, 212L, 240L]",0.54,MLR,0.04,-0.16,-0.04,-0.19
"[205L, 250L, 255L, 262L, 271L, 281L]",0.5,MLR,0.25,-0.11,0.09,-0.29
"[26L, 63L, 122L, 137L, 231L, 302L, 327L, 346L]",0.61,MLR,0.27,-0.07,-0.62,-0.66
"[68L, 134L, 147L, 233L, 308L, 330L]",0.58,MLR,0.1,-0.19,-0.24,-0.48
"[17L, 87L, 147L, 159L, 229L, 237L, 314L, 343L, 354L, 374L]",0.68,MLR,0.19,-0.28,-0.6,-0.72
"[61L, 63L, 64L, 132L, 280L, 330L, 339L, 341L]",0.69,MLR,0.19,-0.49,-0.35,-0.53
"[52L, 119L, 265L, 277L, 296L, 308L, 356L, 360L, 377L]",0.63,MLR,0.24,-0.14,-0.57,-0.44
"[4L, 13L, 72L, 87L, 117L, 232L, 306L, 339L, 341L]",0.62,MLR,0.25,-0.12,-0.54,-0.37
"[5L, 107L, 254L, 337L]",0.68,MLR,0.06,-0.19,-0.78,-0.75
"[96L, 122L, 128L, 182L, 256L, 277L, 284L, 309L, 332L, 343L, 373L]",0.84,MLR,0.23,-1.36,0.32,-0.8
"[140L, 176L, 247L, 249L, 360L, 371L]",0.53,MLR,0.22,-0.12,-0.07,-0.09
"[96L, 258L, 292L, 339L, 365L]",0.62,MLR,0.04,-0.23,-0.38,-0.45
"[53L, 175L, 250L, 340L]",0.45,MLR,0.18,-0.01,0.22,-0.19
"[13L, 164L, 183L]",0.43,MLR,0.26,0.02,0.24,0.42
"[31L, 255L, 259L, 275L, 302L]",0.46,MLR,0.2,-0.02,0.17,-0.13
